id,name,genre,url,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,duration_ms,key,loudness,mode,tempo,valence,available_market,release_date,explicit,idx
2lS6uHU9ebUHTatXdQTG6p,Novos tempos - Ao vivo,samba,https://open.spotify.com/track/2lS6uHU9ebUHTatXdQTG6p,39.0,0.85,0.464,0.573,0.000681,0.542,0.0392,311360.0,7.0,-10.407,1.0,90.987,0.5579999999999999,79.0,2004-10-19,0.0,9520
3nfufBoHEaKSa1RE9JSqEc,Dona da Minha Cabeça - Ao Vivo,samba,https://open.spotify.com/track/3nfufBoHEaKSa1RE9JSqEc,51.0,0.627,0.6409999999999999,0.782,0.0,0.8109999999999999,0.0493,236746.0,2.0,-9.296,1.0,79.979,0.41,79.0,2016-12-09,0.0,9521
2Gr3mSreZr62WVFoHd3ung,Que Maravilha - Live,samba,https://open.spotify.com/track/2Gr3mSreZr62WVFoHd3ung,29.0,0.108,0.58,0.464,1.34e-05,0.0703,0.0554,151293.0,0.0,-14.523,1.0,88.579,0.472,78.0,1970-07-20,0.0,9522
4hwUwNIsyx5jh2JneqrOUC,Meditation,samba,https://open.spotify.com/track/4hwUwNIsyx5jh2JneqrOUC,16.0,0.931,0.512,0.059,0.7040000000000001,0.949,0.0542,240293.0,4.0,-29.168000000000006,0.0,142.005,0.333,2.0,1987-01-01,0.0,9523
6ymwfKLPZxj84fkIcz7URT,Corcovado,samba,https://open.spotify.com/track/6ymwfKLPZxj84fkIcz7URT,17.0,0.86,0.544,0.36,0.172,0.265,0.0324,245893.0,2.0,-8.76,0.0,122.033,0.354,42.0,2005-01-01,0.0,9524
5jyc2gfTkBHbIyMETSfq2u,Dona da Minha Cabeça,samba,https://open.spotify.com/track/5jyc2gfTkBHbIyMETSfq2u,44.0,0.225,0.598,0.562,0.0,0.0864,0.049,205453.0,2.0,-10.205,1.0,154.107,0.5670000000000001,79.0,1998-05-06,0.0,9525
3qVv9NrHoHFKe4Qk1x9oDZ,Minha Fé,samba,https://open.spotify.com/track/3qVv9NrHoHFKe4Qk1x9oDZ,19.0,0.42,0.705,0.784,0.0,0.16899999999999998,0.123,203626.0,7.0,-8.607999999999999,1.0,106.282,0.88,73.0,2019-11-22,0.0,9526
0sETARvzOvUtryqjRH6cYZ,Suíte do Pescador (Minha Jangada) / Eu Quero É Botar Meu Bloco na Rua - Ao Vivo,samba,https://open.spotify.com/track/0sETARvzOvUtryqjRH6cYZ,36.0,0.199,0.584,0.621,0.000423,0.435,0.0664,353906.0,0.0,-11.246,1.0,87.146,0.477,79.0,2006-01-01,0.0,9527
0YojqXjn4xb5hblpFAhqJr,"Por Causa De Você, Menina",samba,https://open.spotify.com/track/0YojqXjn4xb5hblpFAhqJr,51.0,0.601,0.518,0.535,1.91e-05,0.13699999999999998,0.0338,167066.0,2.0,-8.56,1.0,156.759,0.924,49.0,1963-01-01,0.0,9528
4cEfEKnJ34cV4qnqc57oOG,As Caravanas,samba,https://open.spotify.com/track/4cEfEKnJ34cV4qnqc57oOG,45.0,0.753,0.6970000000000001,0.578,1.32e-06,0.0695,0.0427,167573.0,0.0,-7.3210000000000015,1.0,138.10299999999998,0.542,73.0,2017-08-25,0.0,9529
