id,name,genre,url,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,duration_ms,key,loadness,mode,tempo,valence,available_market,release_date,explicit,idx
5mgWvA2TShvmIkzLR4jAu1,About a Bruise,acoustic,https://open.spotify.com/track/5mgWvA2TShvmIkzLR4jAu1,42.0,0.586,0.638,0.653,8.840000000000001e-05,0.0989,0.0374,191026.0,6.0,-8.554,1.0,80.253,0.943,79.0,2017-08-25,0.0,20
0TsCgNO9jaznNiPmkLDkbS,Black Coffee in Bed,acoustic,https://open.spotify.com/track/0TsCgNO9jaznNiPmkLDkbS,40.0,0.794,0.664,0.17,0.0,0.141,0.04,205986.0,6.0,-14.003,1.0,96.715,0.377,79.0,2010,0.0,21
3FaEoHRnoDkK32rWTdkbyv,Harder To Forgive,acoustic,https://open.spotify.com/track/3FaEoHRnoDkK32rWTdkbyv,45.0,0.0712,0.525,0.807,1.63e-05,0.14,0.0469,246533.0,8.0,-5.5760000000000005,1.0,107.807,0.41100000000000003,79.0,2018-02-16,0.0,22
7wD8VIzxKmPFb7VNll1lBV,Ulysses,acoustic,https://open.spotify.com/track/7wD8VIzxKmPFb7VNll1lBV,44.0,0.7490000000000001,0.384,0.266,0.00149,0.11199999999999999,0.0283,256893.0,7.0,-9.332,1.0,74.872,0.27399999999999997,79.0,2011-07-15,0.0,23
3cpeS6pjeBMznfSpqo39OI,Future / Past,acoustic,https://open.spotify.com/track/3cpeS6pjeBMznfSpqo39OI,42.0,0.381,0.298,0.6509999999999999,0.395,0.106,0.0333,401800.0,0.0,-5.074,1.0,140.079,0.047,79.0,2014-03-04,0.0,24
7IjL4IoQZMk1dOI4MH1T0i,Paperweight by Joshua Radin and Schuyler Fisk,acoustic,https://open.spotify.com/track/7IjL4IoQZMk1dOI4MH1T0i,50.0,0.555,0.42200000000000004,0.11900000000000001,0.0,0.0959,0.0354,204333.0,8.0,-15.182,1.0,179.84400000000005,0.405,79.0,2009-11-25,0.0,25
102LKbpOsGAXWYQx9sEd5e,Keep Your Heart Young,acoustic,https://open.spotify.com/track/102LKbpOsGAXWYQx9sEd5e,42.0,0.223,0.479,0.502,0.0,0.0799,0.0519,200040.0,6.0,-5.164,1.0,176.49,0.578,78.0,2012-06-01,0.0,26
1zAsxB5uQo9s6PtUfBbWiV,Build It Up,acoustic,https://open.spotify.com/track/1zAsxB5uQo9s6PtUfBbWiV,45.0,0.8220000000000001,0.322,0.25,0.006959999999999999,0.0971,0.0387,229802.0,0.0,-11.255,1.0,82.83,0.0938,79.0,2020-04-17,0.0,27
6f7PAaCba8yzyMSqD19uEk,Safe and Sound,acoustic,https://open.spotify.com/track/6f7PAaCba8yzyMSqD19uEk,42.0,0.927,0.48100000000000004,0.308,0.111,0.242,0.0319,215856.0,2.0,-15.485,1.0,98.98,0.237,79.0,2018-05-29,0.0,28
3B0vIV46Ia4CjTObNaENbX,Monsters Talk (feat. Bear Rinehart),acoustic,https://open.spotify.com/track/3B0vIV46Ia4CjTObNaENbX,42.0,0.6859999999999999,0.552,0.537,0.0179,0.107,0.0286,231009.0,7.0,-6.287999999999999,1.0,83.97399999999998,0.57,79.0,2014-09-30,0.0,29
5Ph2oeskX0U9IwhsBY2zKj,Fire,acoustic,https://open.spotify.com/track/5Ph2oeskX0U9IwhsBY2zKj,48.0,0.00734,0.5720000000000001,0.5760000000000001,0.0,0.287,0.0336,228520.0,7.0,-7.0420000000000025,0.0,181.00900000000001,0.5489999999999999,79.0,2014,0.0,30
6Z5eBHL1OEUSE3wOSXiQgu,Golden Train,acoustic,https://open.spotify.com/track/6Z5eBHL1OEUSE3wOSXiQgu,37.0,0.6629999999999999,0.5,0.34299999999999997,0.0,0.215,0.0337,182773.0,1.0,-9.506,1.0,129.253,0.37799999999999995,75.0,2008-01-01,0.0,31
0dJDvqSaf1kQEbUXbgsagt,Asking for a Friend,acoustic,https://open.spotify.com/track/0dJDvqSaf1kQEbUXbgsagt,37.0,0.7290000000000001,0.645,0.467,1.69e-06,0.0756,0.0301,235866.0,0.0,-9.449,1.0,126.914,0.294,79.0,2020-04-03,0.0,32
4bgCdwNpbU3sCJ3mupBW8S,I Don't Want to Be - Stripped Version,acoustic,https://open.spotify.com/track/4bgCdwNpbU3sCJ3mupBW8S,64.0,0.142,0.545,0.5820000000000001,0.0,0.14400000000000002,0.0368,244333.0,8.0,-7.3770000000000024,1.0,147.082,0.536,79.0,2004-07-26,0.0,33
2MV6Kpwno9JsWT5t5JMU6a,Here Comes the Sun,acoustic,https://open.spotify.com/track/2MV6Kpwno9JsWT5t5JMU6a,41.0,0.888,0.596,0.22399999999999998,3.93e-06,0.127,0.0275,177253.0,2.0,-11.035,1.0,109.895,0.27699999999999997,79.0,2018-11-02,0.0,34
4tqsFRjUHZ89bMEOAk3lUl,Miss You,acoustic,https://open.spotify.com/track/4tqsFRjUHZ89bMEOAk3lUl,49.0,0.17800000000000002,0.5920000000000001,0.6859999999999999,0.0,0.111,0.0389,197546.0,9.0,-6.904,1.0,101.015,0.397,78.0,2020-01-17,0.0,35
4HMVeqf1r9cH240Ann9sJ3,A Beautiful Mess,acoustic,https://open.spotify.com/track/4HMVeqf1r9cH240Ann9sJ3,52.0,0.285,0.534,0.233,0.0,0.209,0.0337,337973.0,4.0,-12.055,1.0,119.681,0.14,79.0,2008-05-12,0.0,36
2mtYt7WxFKIi2sCc3xntOj,Wait,acoustic,https://open.spotify.com/track/2mtYt7WxFKIi2sCc3xntOj,38.0,0.78,0.469,0.28600000000000003,0.0103,0.19699999999999998,0.032,357306.0,6.0,-9.454,1.0,116.368,0.16399999999999998,79.0,2006-06-06,0.0,37
6DwgZO7AMYelPFwr8WPhpg,I Am Not Alone,acoustic,https://open.spotify.com/track/6DwgZO7AMYelPFwr8WPhpg,45.0,0.764,0.5660000000000001,0.179,5.7399999999999986e-05,0.111,0.0285,252386.0,7.0,-11.709000000000001,1.0,112.012,0.222,77.0,2014-07-16,0.0,38
5FjhLFw4Zs9wQWIiiQRpgo,Southern Girl,acoustic,https://open.spotify.com/track/5FjhLFw4Zs9wQWIiiQRpgo,47.0,0.508,0.597,0.374,8.190000000000001e-05,0.299,0.0292,201266.0,6.0,-10.03,1.0,141.05700000000004,0.35200000000000004,79.0,2006-01-01,0.0,40
5BJX1oFaYvCUtxq3qxhP9p,Mainstream Kid,acoustic,https://open.spotify.com/track/5BJX1oFaYvCUtxq3qxhP9p,37.0,0.0626,0.563,0.948,0.00579,0.105,0.0607,259042.0,2.0,-5.624,1.0,117.89,0.528,1.0,2015-03-06,0.0,41
1kYxBkms6klpedsXdCfa4X,Broken Tongue,acoustic,https://open.spotify.com/track/1kYxBkms6klpedsXdCfa4X,47.0,0.439,0.636,0.546,2.99e-05,0.5770000000000001,0.0315,193063.0,0.0,-9.421,0.0,114.117,0.452,79.0,2017-04-07,0.0,42
5QCMy34e1t3ctHXv2y8vXk,Burning In The Sun,acoustic,https://open.spotify.com/track/5QCMy34e1t3ctHXv2y8vXk,35.0,0.0166,0.5579999999999999,0.8270000000000001,0.019,0.135,0.028999999999999998,245693.0,4.0,-5.234,1.0,143.066,0.361,3.0,2005-01-01,0.0,43
4aaFUsZbFO3WNriK5FGR7x,a million bucks on a queen motel bed,acoustic,https://open.spotify.com/track/4aaFUsZbFO3WNriK5FGR7x,39.0,0.151,0.3,0.645,0.0,0.682,0.0506,342779.0,7.0,-5.167999999999998,1.0,177.53599999999997,0.17600000000000002,79.0,2018-10-05,0.0,44
6b4mWoXrscyajbLOB2qwfG,Drunks,acoustic,https://open.spotify.com/track/6b4mWoXrscyajbLOB2qwfG,36.0,0.157,0.39899999999999997,0.461,5.520000000000003e-05,0.11599999999999999,0.0411,279068.0,3.0,-10.694,1.0,96.59100000000001,0.205,71.0,2016-10-14,0.0,45
6WFXV8OcUOvH92XOlMFKft,Let It Be Me,acoustic,https://open.spotify.com/track/6WFXV8OcUOvH92XOlMFKft,40.0,0.46,0.612,0.273,0.0,0.11599999999999999,0.0265,280226.0,0.0,-7.985,1.0,108.09700000000001,0.319,51.0,2009-03-04,0.0,46
7BNxbhK3BwhHRoF2EvYNss,Run,acoustic,https://open.spotify.com/track/7BNxbhK3BwhHRoF2EvYNss,47.0,0.015,0.62,0.652,5.77e-06,0.0835,0.0312,249146.0,11.0,-5.7010000000000005,1.0,109.988,0.204,45.0,2011-01-01,0.0,47
57FqmzNGTziRPCyuqaUrHo,First Defeat,acoustic,https://open.spotify.com/track/57FqmzNGTziRPCyuqaUrHo,49.0,0.858,0.519,0.214,0.0021,0.11800000000000001,0.0298,243773.0,5.0,-11.243,1.0,144.411,0.22899999999999998,78.0,2014-02-11,0.0,48
170TUtt0aRoo2UddwvxnxT,Blue Canadian Rockies - Recorded at Sound Stage Studios Nashville,acoustic,https://open.spotify.com/track/170TUtt0aRoo2UddwvxnxT,44.0,0.223,0.68,0.382,2.87e-06,0.122,0.0384,136120.0,3.0,-11.088,1.0,118.083,0.5539999999999999,79.0,2018-06-13,0.0,49
1qYXEnOKWK91Yn9MJJfjwb,Wreck of the Day,acoustic,https://open.spotify.com/track/1qYXEnOKWK91Yn9MJJfjwb,39.0,0.262,0.465,0.348,0.0007610000000000001,0.11,0.0296,246506.0,7.0,-10.327,1.0,144.995,0.139,79.0,2005,0.0,50
5UcW2Su74svT2gYHBv57fO,From This Valley - Acoustic,acoustic,https://open.spotify.com/track/5UcW2Su74svT2gYHBv57fO,46.0,0.826,0.39,0.406,0.0,0.0869,0.0375,206133.0,10.0,-5.784,1.0,173.50900000000001,0.405,79.0,2013-11-29,0.0,51
