,id,name,artist,genre,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,duration_ms,key,loadness,mode,tempo,valence,available_market,release_date,explicit
6272,0fGseaY3EgFuCRYR8okcNi,Paper Cup,Real Estate,j-pop,56.0,0.557,0.546,0.756,0.0494,0.336,0.029,270733.0,9.0,-6.272,1.0,122.035,0.766,79.0,2020-02-28,1.0
6273,7GtZXSagPaHXd0eQ5YmCN8,"Recently - Live at Red Rocks Amphitheatre, Morrison, CO - August 1995",Dave Matthews Band,j-pop,42.0,0.317,0.432,0.691,5.38e-06,0.391,0.0528,372866.0,7.0,-8.987,1.0,121.344,0.182,3.0,1997-10-28,0.0
6274,4Liuyhn3c3vm948uxATwUw,One Sweet World - Live,Dave Matthews Band,j-pop,41.0,0.34,0.579,0.645,2.6e-06,0.211,0.0391,309466.0,3.0,-14.408,1.0,106.062,0.544,3.0,1993-11-09,0.0
6275,4Ilen0VxPEsVRLpnePji8P,"Slow Down - 12"" Version",Bobby V.,j-pop,67.0,0.179,0.568,0.732,4.92e-06,0.401,0.103,258666.0,11.0,-4.896,0.0,186.048,0.626,79.0,2005-01-01,0.0
6276,1CeGBbkJeKPojRmlo2gIwq,I Can't Wait Another Minute,Hi-Five,j-pop,43.0,0.357,0.625,0.644,0.0,0.102,0.0287,301640.0,8.0,-8.801,1.0,147.435,0.638,76.0,1990,0.0
6277,5xytFKLt3UrvYbztn1rw9a,Street Life (Edit),Randy Crawford,j-pop,1.0,0.258,0.55,0.548,4.12e-05,0.36,0.0719,289333.0,5.0,-11.171,0.0,111.612,0.819,79.0,2020-05-08,0.0
6278,2UjQ2nowqUTp6wrR0bTgsO,Lifetime Lover,J Boog,j-pop,45.0,0.0308,0.886,0.436,0.0,0.24,0.157,230016.0,10.0,-6.209,0.0,80.002,0.925,79.0,2007-01-01,0.0
6279,5KEAmcGyCSCC391WwgBRnr,It Hurts so Much,Kolohe Kai,j-pop,39.0,0.53,0.694,0.642,0.0,0.0705,0.0896,254280.0,2.0,-5.018,1.0,93.136,0.464,79.0,2019-02-19,0.0
6280,59eluCMn0XbOWqeWQ91FTM,君はロックを聴かない,Aimyon,j-pop,69.0,0.00135,0.524,0.687,0.0,0.169,0.0267,246306.0,7.0,-4.039,1.0,99.919,0.619,79.0,2017-09-12,0.0
6281,4OxXBAN51tjVBEjSwuWWbv,U.N.I.T.Y.,Queen Latifah,j-pop,44.0,0.0149,0.679,0.468,1.46e-06,0.203,0.386,250840.0,4.0,-11.768,0.0,94.126,0.503,5.0,1993-01-01,0.0
