id,name,genre,url,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,duration_ms,key,loudness,mode,tempo,valence,available_market,release_date,explicit,idx
74OqfDdUQZWliXlNK0DqDD,Mahou Hatsudou,anime,https://open.spotify.com/track/74OqfDdUQZWliXlNK0DqDD,44.0,0.00011,0.484,0.962,0.878,0.261,0.0508,107453.0,9.0,-4.82,1.0,129.981,0.514,78.0,2017-11-01,0.0,596
0WNdWq6oddwzHza78L1EP1,The Reluctant Heroes (Modv),anime,https://open.spotify.com/track/0WNdWq6oddwzHza78L1EP1,41.0,0.038,0.597,0.7559999999999999,0.0006389999999999999,0.179,0.0403,269160.0,11.0,-7.807,0.0,126.987,0.49,78.0,2017-06-07,0.0,597
6PUaOU8UCWvBlTYS6A3i88,Ame Ga Furu Kara Niji Ga Deru (Nanatsu No Taizai),anime,https://open.spotify.com/track/6PUaOU8UCWvBlTYS6A3i88,45.0,0.0465,0.5539999999999999,0.934,3.7000000000000006e-06,0.135,0.0828,92621.0,9.0,-2.464,1.0,92.699,0.705,79.0,2018-05-19,0.0,598
3P4Vcz7MhJngRf8WUAaoA0,Χ Ξ Σ - 666,black-metal,https://open.spotify.com/track/3P4Vcz7MhJngRf8WUAaoA0,44.0,0.00114,0.39,0.758,0.8290000000000001,0.0978,0.0312,348053.0,3.0,-6.329,1.0,84.00299999999999,0.0993,79.0,2013-03-05,0.0,600
1E97mxCbk0NrbdczEf528G,A New Color,black-metal,https://open.spotify.com/track/1E97mxCbk0NrbdczEf528G,23.0,1.4e-05,0.316,0.977,0.905,0.173,0.107,321373.0,3.0,-6.832999999999998,1.0,160.032,0.116,76.0,2019-01-11,0.0,601
0J7eT3vfZKwQhoFrgRvtKN,The Reek of Fear,black-metal,https://open.spotify.com/track/0J7eT3vfZKwQhoFrgRvtKN,28.0,2.8300000000000007e-05,0.256,0.978,0.361,0.214,0.101,200468.0,5.0,-3.094,1.0,120.658,0.0335,79.0,2018-09-28,1.0,602
7m1qTSmWhE90fbB5lfGa0C,Chorea Macchabeorum,black-metal,https://open.spotify.com/track/7m1qTSmWhE90fbB5lfGa0C,25.0,0.0,0.36,0.8959999999999999,0.959,0.37,0.0604,252076.0,4.0,-6.507999999999999,0.0,130.039,0.126,79.0,2017-10-27,0.0,603
4qpIOuAJ2MjYTOnrFSQti8,So Falls the World,black-metal,https://open.spotify.com/track/4qpIOuAJ2MjYTOnrFSQti8,43.0,0.0135,0.547,0.8009999999999999,0.361,0.101,0.0388,357397.0,4.0,-9.143,0.0,119.975,0.0357,79.0,2017-04-07,0.0,604
13TqvB91x3vY05Ym9OJ9It,Fault,black-metal,https://open.spotify.com/track/13TqvB91x3vY05Ym9OJ9It,24.0,0.000124,0.379,0.93,0.208,0.0771,0.102,334000.0,0.0,-8.232999999999999,1.0,155.01,0.0396,76.0,2019-02-01,0.0,605
48flSTqV49MPkShzelnIcR,Sculpting the Throne Ov Seth,black-metal,https://open.spotify.com/track/48flSTqV49MPkShzelnIcR,30.0,0.000668,0.276,0.963,0.7020000000000001,0.2,0.192,281386.0,6.0,-6.586,1.0,126.284,0.0558,79.0,2004,0.0,606
7jCQrMw8wYhexjYWTrfWYw,Slaying the Prophets Ov Isa,black-metal,https://open.spotify.com/track/7jCQrMw8wYhexjYWTrfWYw,27.0,0.000434,0.222,0.988,0.7959999999999999,0.0916,0.163,203146.0,9.0,-4.835,1.0,136.315,0.0389,79.0,2007-07-17,1.0,607
43E73IfKoI2PU9i8ZKGaWe,Ensigns Of Victory,black-metal,https://open.spotify.com/track/43E73IfKoI2PU9i8ZKGaWe,32.0,2.08e-06,0.3,0.971,0.851,0.327,0.111,407240.0,2.0,-5.82,1.0,150.10299999999995,0.0341,79.0,2016-08-20,0.0,608
4NcYRApZOUk4Y9vBSlFiZd,Slippin' Away,black-metal,https://open.spotify.com/track/4NcYRApZOUk4Y9vBSlFiZd,39.0,0.0005,0.364,0.565,0.289,0.254,0.0315,312933.0,7.0,-8.793,0.0,121.285,0.0583,79.0,1996-02-13,0.0,609
0LsNJ1h4WWX8T9wZJW9u8l,Open the Gates,black-metal,https://open.spotify.com/track/0LsNJ1h4WWX8T9wZJW9u8l,31.0,5.9e-06,0.069,0.98,0.3,0.3,0.128,274093.0,0.0,-7.627999999999999,1.0,196.167,0.0388,79.0,1996-01-28,0.0,610
0eTJK2bzMPqJtl9GHO37tn,Blood Vortex,black-metal,https://open.spotify.com/track/0eTJK2bzMPqJtl9GHO37tn,24.0,4.39e-06,0.404,0.931,0.112,0.0982,0.0526,210280.0,6.0,-4.762,1.0,85.00399999999998,0.349,79.0,2005-07-13,1.0,611
6U3c8sjXhmp658imrObxDf,I Dream in Lines,black-metal,https://open.spotify.com/track/6U3c8sjXhmp658imrObxDf,34.0,1.12e-05,0.369,0.955,0.106,0.301,0.0921,290840.0,5.0,-6.9689999999999985,1.0,159.963,0.138,76.0,2019-02-01,0.0,612
1XgEQLn5DrYN0E18l7QWis,Hands That Mold,black-metal,https://open.spotify.com/track/1XgEQLn5DrYN0E18l7QWis,31.0,0.00184,0.381,0.938,0.15,0.0764,0.11,372066.0,5.0,-7.126,1.0,150.688,0.31,79.0,2014-10-14,0.0,613
75rkqAP4omxXp9WaAlwcZz,Godkill,black-metal,https://open.spotify.com/track/75rkqAP4omxXp9WaAlwcZz,36.0,4.73e-05,0.189,0.975,0.952,0.129,0.11,191400.0,8.0,-5.271,1.0,194.815,0.321,79.0,2013-11-26,0.0,614
5GdYxhRkVCIwRyZoVKjrvX,Sinners Bleed,black-metal,https://open.spotify.com/track/5GdYxhRkVCIwRyZoVKjrvX,34.0,2.02e-06,0.17,0.944,0.7509999999999999,0.0804,0.142,310600.0,7.0,-7.0779999999999985,1.0,81.783,0.171,79.0,1991,0.0,615
40W7AVDmSxKjf6OYO2egdl,Mother Earth Father Thunder,black-metal,https://open.spotify.com/track/40W7AVDmSxKjf6OYO2egdl,26.0,2.04e-06,0.3670000000000001,0.795,0.794,0.395,0.0605,337866.0,7.0,-5.28,1.0,120.075,0.325,79.0,2002-01-01,0.0,616
5vCX1T6sQpjwL9cZ5fi6He,Leave Me In Hell,black-metal,https://open.spotify.com/track/5vCX1T6sQpjwL9cZ5fi6He,29.0,3.6000000000000007e-06,0.272,0.772,0.0075099999999999984,0.152,0.0398,213560.0,1.0,-11.23,1.0,108.018,0.255,78.0,1982-11-01,0.0,617
2eBuHnGLI81U8IOQvbsyv4,Starless Aeon,black-metal,https://open.spotify.com/track/2eBuHnGLI81U8IOQvbsyv4,22.0,1.52e-05,0.37,0.936,0.317,0.0954,0.069,239226.0,8.0,-4.425,1.0,163.988,0.526,2.0,2006-05-16,0.0,618
4Ug7jggetFjiGK5JxWIWJJ,With Strength I Burn,black-metal,https://open.spotify.com/track/4Ug7jggetFjiGK5JxWIWJJ,27.0,0.00391,0.0852,0.946,0.93,0.375,0.0996,497600.0,0.0,-4.198,1.0,166.602,0.04,79.0,1997-05-12,0.0,619
2OCwcVn0I2iby5grBmjY4o,Calm in Ire (Of Hurricane),black-metal,https://open.spotify.com/track/2OCwcVn0I2iby5grBmjY4o,28.0,1.73e-05,0.118,0.938,0.743,0.274,0.0978,272013.0,3.0,-6.099,0.0,159.993,0.0429,78.0,2019-07-05,0.0,620
5qLbr4EukqBe90DU2Flo7o,Ever so Bold,black-metal,https://open.spotify.com/track/5qLbr4EukqBe90DU2Flo7o,24.0,0.0,0.342,0.878,0.8740000000000001,0.407,0.0821,246298.0,5.0,-6.319,1.0,100.518,0.0359,76.0,2019-11-15,0.0,621
2ztl1Wwnwpr2Q3KaXi8Srn,Crown,black-metal,https://open.spotify.com/track/2ztl1Wwnwpr2Q3KaXi8Srn,34.0,0.448,0.154,0.453,0.621,0.0882,0.0323,296413.0,2.0,-6.959,0.0,95.994,0.0386,79.0,2017-09-15,0.0,622
1XtFcMlqSAAkfztyxHmrmR,Sorgens Kammer - Del II,black-metal,https://open.spotify.com/track/1XtFcMlqSAAkfztyxHmrmR,34.0,9.13e-06,0.29100000000000004,0.855,0.792,0.293,0.0462,351921.0,10.0,-4.825,1.0,88.18799999999997,0.0571,79.0,2005-11-11,0.0,623
7xA7XEh6Jc7HUkzBsUDIDj,Buried Alive,black-metal,https://open.spotify.com/track/7xA7XEh6Jc7HUkzBsUDIDj,34.0,0.00314,0.281,0.447,6.51e-06,0.132,0.0389,252333.0,7.0,-13.605,1.0,97.462,0.16399999999999998,78.0,1982-11-01,0.0,624
